id,"Глубина  проникания иглы при 0 °С, [мм-1]","Глубина  проникания иглы при 25 °С, [мм-1]","Растяжимость  при температуре 0 °С, [см]","Температура размягчения, [°С]","Эластичность при 0 °С, [%]"
0,33.37027168273926,88.7555129826069,21.57945942878723,69.88546526432037,76.16438955068588
1,54.303531646728516,52.00000000000001,49.63310718536377,69.42203426361084,81.62297248840332
2,27.486791610717773,52.00000000000001,18.26195192337036,73.11733329296112,71.72010472416878
3,36.01346969604492,52.00000000000001,41.40308904647827,74.33566558361053,74.71011626720428
4,35.88529872894287,52.00000000000001,39.74041414260864,77.81300151348114,69.56237615644932
5,32.73429584503174,52.00000000000001,21.833059191703796,79.41770279407501,68.8111424446106
6,33.30410575866699,52.00000000000001,30.14319682121277,75.2533175945282,71.51688694953918
7,33.197824478149414,60.87291644513608,25.019416332244873,72.74055480957031,74.68791323900223
8,37.31093883514404,105.78350460529329,26.778303384780884,68.09914454817772,76.12895545363426
9,32.722140312194824,52.00000000000001,18.932310223579407,69.3136835694313,73.4089583158493
